Name,PowerState,VMHost
DWDEV01,PoweredOn,phxesx16.healthchoiceaz.local
HCACRYSTAL01,PoweredOn,phxesx16.healthchoiceaz.local
HCADEVS01,PoweredOn,phxesx16.healthchoiceaz.local
HCARightfaxDT03,PoweredOn,phxesx16.healthchoiceaz.local
HCMCO-CertSvcs2,PoweredOn,phxesx16.healthchoiceaz.local
PHX_CiscoFMC02,PoweredOn,phxesx16.healthchoiceaz.local
PHXFOX09,PoweredOn,phxesx16.healthchoiceaz.local
PHXFOX20,PoweredOn,phxesx16.healthchoiceaz.local
PHXHPABT01V,PoweredOn,phxesx16.healthchoiceaz.local
PHXSQLSSISD01,PoweredOn,phxesx16.healthchoiceaz.local
EXTADFS,PoweredOn,phxesx17.healthchoiceaz.local
HCADEVGROUPER01,PoweredOn,phxesx17.healthchoiceaz.local
HCAPP01,PoweredOn,phxesx17.healthchoiceaz.local
HHAPP02,PoweredOn,phxesx17.healthchoiceaz.local
PHXDUOPROXY1,PoweredOn,phxesx17.healthchoiceaz.local
PHXFILE01,PoweredOn,phxesx17.healthchoiceaz.local
PHXFLX01,PoweredOn,phxesx17.healthchoiceaz.local
PHXFOX13,PoweredOn,phxesx17.healthchoiceaz.local
PHXFOX21,PoweredOn,phxesx17.healthchoiceaz.local
PHXJUMP02,PoweredOn,phxesx17.healthchoiceaz.local
PHXRIGHTFAX02,PoweredOn,phxesx17.healthchoiceaz.local
PHXRIGHTFAXDT03,PoweredOn,phxesx17.healthchoiceaz.local
PHXSDB02,PoweredOn,phxesx17.healthchoiceaz.local
PHXSQL01,PoweredOn,phxesx17.healthchoiceaz.local
PHXSQLRF01,PoweredOn,phxesx17.healthchoiceaz.local
HCACCPYP01V,PoweredOn,phxesx18.healthchoiceaz.local
HCAWDSP01V,PoweredOn,phxesx18.healthchoiceaz.local
HCHUB01,PoweredOn,phxesx18.healthchoiceaz.local
MP-OKT-PHX01,PoweredOn,phxesx18.healthchoiceaz.local
PHX3MGPCS01,PoweredOn,phxesx18.healthchoiceaz.local
PHXFOX07,PoweredOn,phxesx18.healthchoiceaz.local
PHXFOX26,PoweredOn,phxesx18.healthchoiceaz.local
PHXFOXTROT01,PoweredOn,phxesx18.healthchoiceaz.local
PHXHVCONN01,PoweredOn,phxesx18.healthchoiceaz.local
PHXIQSVCP01,PoweredOn,phxesx18.healthchoiceaz.local
PHXJAMSP02,PoweredOn,phxesx18.healthchoiceaz.local
PHXONTIMESQL1,PoweredOn,phxesx18.healthchoiceaz.local
PHXPQA02,PoweredOn,phxesx18.healthchoiceaz.local
PHXRELAY01,PoweredOn,phxesx18.healthchoiceaz.local
PHXSQLSCCM01,PoweredOn,phxesx18.healthchoiceaz.local
PHXUMBVA02,PoweredOn,phxesx18.healthchoiceaz.local
vSphere_Replication_OVF10,PoweredOn,phxesx18.healthchoiceaz.local
CAREWEB01,PoweredOn,phxesx19.healthchoiceaz.local
Edge Server,PoweredOn,phxesx19.healthchoiceaz.local
HCACallCopy01,PoweredOn,phxesx19.healthchoiceaz.local
HCACallCopyWFM,PoweredOn,phxesx19.healthchoiceaz.local
HCARightfaxDT02,PoweredOn,phxesx19.healthchoiceaz.local
PHX27XD01,PoweredOn,phxesx19.healthchoiceaz.local
PHXAD02,PoweredOn,phxesx19.healthchoiceaz.local
PHXAPP03,PoweredOn,phxesx19.healthchoiceaz.local
PHXAPP05,PoweredOn,phxesx19.healthchoiceaz.local
